elapsed_sec,frame_ms,draw_calls
5.270,16.483,397
5.287,16.463,400
5.304,16.886,396
5.320,16.660,384
5.337,16.475,383
5.354,16.756,389
5.370,16.742,388
5.387,16.653,385
5.404,16.645,383
5.420,16.649,383
5.437,16.838,377
5.454,16.679,382
5.471,16.768,379
5.487,16.559,374
5.504,16.738,364
5.521,16.700,368
5.537,16.494,367
5.554,16.687,364
5.571,16.859,363
5.587,16.494,364
5.604,16.794,356
5.620,16.501,360
5.637,16.675,360
5.654,16.726,351
5.670,16.698,346
5.687,16.826,344
5.704,16.545,350
5.721,16.676,348
5.737,16.663,342
5.754,16.840,344
5.771,16.543,339
5.787,16.680,338
5.804,16.744,341
5.821,16.612,336
5.837,16.689,328
5.854,16.838,318
5.871,16.542,324
5.887,16.755,325
5.904,16.620,324
5.921,16.789,325
5.937,16.532,322
5.954,16.725,317
5.971,16.773,322
5.987,16.484,321
6.004,16.894,312
6.021,16.630,304
6.038,16.751,305
6.054,16.640,307
6.071,16.572,308
6.087,16.594,300
6.104,16.815,304
6.121,16.596,298
6.138,16.812,302
6.154,16.522,302
6.171,16.855,296
6.188,16.626,284
6.204,16.579,286
6.221,16.790,287
6.238,16.587,286
6.254,16.766,282
6.271,16.829,286
6.288,16.439,283
6.304,16.740,277
6.321,16.553,282
6.338,16.686,277
6.354,16.726,265
6.371,16.729,263
6.388,16.683,265
6.404,16.623,263
6.421,16.830,261
6.438,16.799,259
6.454,16.479,259
6.471,16.761,252
6.488,16.650,261
6.505,16.941,257
6.521,16.332,249
6.538,16.922,241
6.555,16.416,241
6.571,16.716,241
6.588,16.655,240
6.605,16.734,241
6.621,16.670,239
6.638,16.698,232
6.655,16.596,235
6.671,16.874,237
6.688,16.557,228
6.705,16.667,221
6.722,16.843,220
6.738,16.672,217
6.755,16.657,216
6.772,16.743,214
6.788,16.463,214
6.805,16.789,212
6.821,16.563,213
6.838,16.744,214
6.855,16.845,212
6.872,16.514,201
6.888,16.585,199
6.905,16.680,198
6.922,16.737,194
6.938,16.730,195
6.955,16.988,193
6.972,16.293,193
6.988,16.895,187
7.005,16.526,190
7.022,16.924,190
7.038,16.564,184
7.055,16.642,176
7.072,16.713,176
7.088,16.560,172
7.105,16.798,171
7.122,16.576,169
7.138,16.563,172
7.155,16.694,169
7.172,16.736,172
7.188,16.786,174
7.205,16.801,169
