elapsed_sec,frame_ms,draw_calls
2.684,9.351,674
2.694,10.613,671
2.702,7.899,669
2.710,7.558,666
2.719,9.773,666
2.730,10.821,657
2.740,9.938,653
2.752,11.882,653
2.761,9.249,657
2.772,10.154,662
2.782,10.665,660
2.790,8.241,660
2.798,8.049,658
2.809,10.957,663
2.822,12.557,661
2.833,11.121,660
2.847,13.738,654
2.856,9.478,661
2.864,7.364,661
2.872,8.570,659
2.883,10.484,655
2.893,10.498,651
2.906,12.270,643
2.917,11.271,645
2.930,13.106,649
2.940,10.175,654
2.948,7.853,655
2.959,11.216,656
2.973,13.914,654
2.986,12.834,655
2.997,11.300,654
3.009,12.148,651
3.020,10.790,650
3.031,11.269,654
3.039,8.039,654
3.050,10.986,651
3.062,11.587,648
3.072,10.444,640
3.087,14.081,639
3.096,9.648,642
3.107,10.893,642
3.115,8.147,646
3.127,11.700,645
3.138,11.315,645
3.146,7.337,645
3.157,11.314,646
3.166,9.350,644
3.177,11.247,643
3.190,12.709,639
3.201,10.517,644
3.210,9.685,644
3.221,10.202,643
3.232,11.748,639
3.243,10.487,629
3.253,10.309,628
3.266,12.479,629
3.275,9.021,629
3.285,10.095,637
3.293,8.542,638
3.305,11.692,640
3.315,9.898,638
3.324,9.190,636
3.334,10.407,638
3.344,9.672,636
3.354,9.999,633
3.365,10.956,632
3.378,12.613,639
3.387,9.704,638
3.399,11.732,634
3.410,10.407,632
3.420,10.739,623
3.432,11.925,622
3.442,10.079,623
3.453,10.756,628
3.461,7.581,629
3.471,10.602,628
3.483,11.894,627
3.492,9.144,624
3.503,10.811,626
3.514,10.506,626
3.524,10.187,622
3.535,11.504,622
3.545,9.611,624
3.555,10.499,627
3.565,9.952,627
3.579,13.665,621
3.588,9.425,610
3.597,8.299,610
3.608,11.402,611
3.618,10.378,618
3.629,10.827,617
3.640,10.670,619
3.651,11.034,620
3.660,8.550,615
3.670,10.860,616
3.682,11.356,618
3.691,9.327,616
3.703,11.915,613
3.713,10.048,613
3.724,11.293,619
3.735,10.960,618
3.745,9.541,612
3.753,7.722,611
3.760,7.137,604
3.770,9.766,604
3.779,9.178,596
3.790,11.178,599
3.800,10.251,607
3.813,12.638,608
3.825,11.823,606
3.833,8.268,605
3.843,10.175,610
3.856,13.175,609
3.867,10.650,607
3.877,9.726,602
3.890,13.031,607
3.897,7.640,608
3.909,11.471,607
3.919,10.707,602
3.927,7.998,595
3.939,11.897,587
3.953,13.338,587
3.964,11.426,598
3.976,12.322,597
3.989,12.918,600
4.000,10.388,599
4.013,13.306,596
4.022,8.911,599
4.032,9.999,597
4.041,9.161,595
4.051,10.361,594
4.062,10.701,598
4.070,7.656,601
4.080,9.768,601
4.091,11.582,594
4.104,12.371,595
4.115,11.333,587
4.127,12.222,583
4.139,11.883,584
4.149,9.803,588
4.158,9.307,588
4.168,9.975,588
4.180,11.730,586
4.190,10.509,590
4.200,9.841,588
4.213,13.326,587
4.225,11.061,584
4.236,11.598,587
4.245,8.691,589
4.256,11.254,587
4.268,12.148,583
4.281,12.482,573
4.290,9.432,569
4.299,9.080,572
4.311,12.014,572
4.321,9.363,577
4.330,9.332,579
4.341,10.983,582
4.350,8.836,579
4.359,9.110,579
4.372,12.710,580
4.384,12.149,580
4.396,12.609,573
4.408,11.361,580
4.415,7.316,580
4.425,10.112,581
4.437,12.327,575
