key,value
meta/scenario,s5
meta/config,size2000
meta/world,2000x32x2000
meta/seed,1337
s5_r100/fill_ms,10
s5_r100/occ_cells,49490
s5_r100/build_ms,258
s5_r100/points,11195
s5_r100/mem_mb,36
s5_r100/query_usec_avg,495.5
s5_r100/query_usec_p95,1794
s5_r100/query_usec_worst,1905
s5_r100/query_usec_n,200
s5_r100/patch_usec_avg,358.7
s5_r100/patch_usec_p95,499
s5_r100/patch_usec_worst,701
s5_r100/patch_usec_n,400
s5_r200/fill_ms,46
s5_r200/occ_cells,202411
s5_r200/build_ms,1088
s5_r200/points,47095
s5_r200/mem_mb,73
s5_r200/query_usec_avg,2567.9
s5_r200/query_usec_p95,9248
s5_r200/query_usec_worst,10734
s5_r200/query_usec_n,200
s5_r200/patch_usec_avg,373.5
s5_r200/patch_usec_p95,568
s5_r200/patch_usec_worst,876
s5_r200/patch_usec_n,400
s5_r300/fill_ms,103
s5_r300/occ_cells,450651
s5_r300/build_ms,2538
s5_r300/points,105974
s5_r300/mem_mb,131
s5_r300/query_usec_avg,5188.6
s5_r300/query_usec_p95,23975
s5_r300/query_usec_worst,29311
s5_r300/query_usec_n,200
s5_r300/patch_usec_avg,366.9
s5_r300/patch_usec_p95,520
s5_r300/patch_usec_worst,833
s5_r300/patch_usec_n,400
s5_r400/fill_ms,207
s5_r400/occ_cells,795824
s5_r400/build_ms,4677
s5_r400/points,188045
s5_r400/mem_mb,217
s5_r400/query_usec_avg,11971.2
s5_r400/query_usec_p95,48715
s5_r400/query_usec_worst,51686
s5_r400/query_usec_n,200
s5_r400/patch_usec_avg,382.3
s5_r400/patch_usec_p95,612
s5_r400/patch_usec_worst,755
s5_r400/patch_usec_n,400
meta/mem_static_mb,217.3
meta/mdpt,4
